Country name,Country code,Region,Subregion,Current female head of state,Names of elected and appointed female heads of state or governments with dates,Names of elected and appointed female heads of state or governments since 1946,Number of elected and appointed female heads of state or governments since 1946,Percentage of ministerial positions held by women,Rank of ministerial positions held by women,Percentage of seats held by women in the national legislature,Rank of seats held by women in the national legislature,Percentage of female candidates in the most recent elections to the national legislature,Rank of female candidates in the most recent elections to the national legislature,Percentage of elected seats held by women in local government bodies,Rank of elected seats held by women in local government bodies,Political parity score,Political parity score rank
Brazil,BRA,Americas,South America,,"Dilma Rousseff (January 1, 2011 to May 12, 2016)",Dilma Rousseff,1,36.67,37,17.51,138,34.73,30,15.70,107,31.7,71
Brunei,BRN,Asia and the Pacific,South Asia,, ,,0,11.11,146,11.76,160,-1,-1,-1,-1,8.6,174
Bulgaria,BGR,Europe,Southeastern Europe,, ,,0,15.79,120,25.42,96,23.94,48,27.2,73,24.4,99
Burkina Faso,BFA,Sub-Saharan Africa,West Africa,, ,,0,20.00,94,16.90,140,-1,-1,12.70,117,15.0,150
Burundi,BDI,Sub-Saharan Africa,East Africa,,"Sylvie Kinigi (July 10, 1993 to October 27, 1993)",Sylvie Kinigi,1,33.33,42,38.89,29,-1,-1,33.30,42,41.0,50
Cambodia,KHM,Asia and the Pacific,South Asia,, ,,0,11.11,146,14.44,154,-1,-1,16.90,101,12.4,163
Cameroon,CMR,Sub-Saharan Africa,Central Africa,, ,,0,17.14,110,32.86,56,-1,-1,24.50,84,25.5,89
Canada,CAN,Americas,North America,,"Kim Campbell (June 25, 1993 to November 4, 1993)",Kim Campbell,1,48.57,14,36.03,42,37.91,26,26.60,78,49.7,29
Cape Verde,CPV,Sub-Saharan Africa,West Africa,, ,,0,31.25,57,38.89,29,48.58,3,41.80,16,55.1,20
Central African Republic,CAF,Sub-Saharan Africa,Central Africa,, ,,0,23.33,78,11.43,161,-1,-1,-1,-1,14.4,153
Chad,TCD,Sub-Saharan Africa,West Africa,, ,,0,10.34,155,26.40,92,-1,-1,10.9,122,14.9,152
Chile,CHL,Americas,South America,,"Michelle Bachelet (March 11, 2006 to March 11, 2010), Michelle Bachelet (March 11, 2014 to March 11, 2018)",Michelle Bachelet,1,58.33,1,33.17,54,-1,-1,33.60,40,53.0,23
China,CHN,Asia and the Pacific,East Asia,, ,,0,4.17,181,26.54,91,-1,-1,32.2,48,22.0,112
Colombia,COL,Americas,South America,, ,,0,50.00,1,29.69,70,-1,-1,17.90,98,41.0,50
Comoros,COM,Sub-Saharan Africa,East Africa,, ,,0,7.69,167,16.67,141,-1,-1,33,42,19.6,125
Costa Rica,CRI,Americas,Central America,,"Laura Chinchilla (May 8, 2010 to May 8, 2014)",Laura Chinchilla,1,45.45,19,47.37,9,49.17,2,45.50,8,71.8,3
Croatia,HRV,Europe,Southeastern Europe,,"Jadranka Kosor (July 6, 2009 to December 23, 2011), Kolinda Grabar-Kitarovic (February 19, 2015 to February 18, 2020)","Jadranka Kosor, Kolinda Grabar-Kitarovic",2,25,67,33.77,50,41.96,17,30,60,42.0,47
Cuba,CUB,Americas,Caribbean,, ,,0,25,67,55.74,1,55.32,1,42.1,15,61.2,13
Cyprus,CYP,Europe,Southeastern Europe,, ,,0,18.75,98,14.29,155,24.32,47,16.1,103,18.2,136
Czech Republic,CZE,Europe,Eastern Europe,, ,,0,7.14,169,23.84,104,31.38,35,29,67,25.1,93
North Korea,PRK,Asia and the Pacific,East Asia,, ,,0,16.67,111.0,17.61,136,17.61,63,28.3,70,20.5,121
Democratic Republic of Congo,COD,Sub-Saharan Africa,Central Africa,, ,,0,22.22,82.0,14.85,149,-1,-1,-1,-1,15.3,147
Denmark,DNK,Europe,Northern Europe,Mette Frederiksen,"Helle Thorning-Schmidt (October 3, 2011 to June 28, 2015), Mette Frederiksen (June 27, 2019 to Incumbent)","Helle Thorning-Schmidt, Mette Frederiksen (current)",2,31.82,53,45.25,16,38.36,25,33.30,42,50.8,27
Djibouti,DJI,Sub-Saharan Africa,East Africa,, ,,0,19.05,97,26.15,93,26.21,42,28.90,69,27.0,82
Dominica,DMA,Americas,Caribbean,Sylvanie Burton,"Dame Eugenia Charles (July 21, 1980 to June 14, 1995)","Dame Eugenia Charles, Sylvanie Burton (current)",1,38.46,31,37.50,38,-1,-1,-1,-1,49.1,32
Dominican Republic,DOM,Americas,Caribbean,, ,,0,6.67,172,25.68,94,-1,-1,29.20,65,20.7,118
East Timor,TLS,Asia and the Pacific,South Asia,, ,,0,15.79,120,38.46,33,-1,-1,3.90,133,21.4,116
Ecuador,ECU,Americas,South America,, ,,0,25.00,67,43.07,22,48.24,5,27.20,73,47.9,36
Egypt,EGY,Middle East and North Africa,North Africa,, ,,0,18.75,98,23.01,106,-1,-1,-1,-1,17.7,138
El Salvador,SLV,Americas,Central America,, ,,0,37.50,34,27.38,85,-1,-1,30.40,57,35.4,62
Equatorial Guinea,GNQ,Sub-Saharan Africa,Central Africa,, ,,0,8.70,164,28.89,76,-1,-1,26.90,76,21.7,113
Eritrea,ERI,Sub-Saharan Africa,East Africa,, ,,0,25.00,67.0,-1,-2,-1,-1,-1,-1,16.7,143
Estonia,EST,Europe,Northern Europe,Kaja Kallas,"Kersti Kaljulaid (October 10, 2016 to Incumbent), Kaja Kallas (January 26, 2021 to Incumbent)","Kersti Kaljulaid, Kaja Kallas (current)",2,42.86,22,29.70,69,32.64,33,29.50,63,43.9,43
Eswatini,SWZ,Sub-Saharan Africa,Southern Africa,, ,,0,33.33,42,28.85,77,-1,-1,14.2,114,26.8,84
Ethiopia,ETH,Sub-Saharan Africa,East Africa,Sahle-Work Zewde,"Sahle-Work Zewde (October 25, 2018 to Incumbent)",Sahle-Work Zewde (current),1,40.91,29,38.57,32,15.91,68,-1,-1,39.6,54
Fiji,FJI,Asia and the Pacific,Australasia and Pacific,, ,,0,5.26,176,9.09,168,-1,-1,35.8,33,17.9,137
Finland,FIN,Europe,Northern Europe,,"Tarja Halonen (March 1, 2000 to March 1, 2012), Anneli Jaatteenmaki (April 17, 2003 to June 24, 2003), Mari Kiviniemi (June 22, 2010 to June 22, 2011), Sanna Marin (December 10, 2019 to Incumbent)","Tarja Halonen, Anneli Jaatteenmaki, Mari Kiviniemi, Sanna Marin ",4,64.29,1,46,12,42.86,11,40,22,71.0,4
France,FRA,Europe,Western Europe,,"Edith Cresson (May 15, 1991 to April 2, 1992)","Edith Cresson, Élisabeth Borne ",2,35.29,40,36.86,39,44.13,9,42.30,14,53.7,22
Gabon,GAB,Sub-Saharan Africa,Central Africa,,"Rose Christiane Raponda (July 16, 2020 to Incumbent)",Rose Christiane Raponda ,1,23.33,78,25.00,97,-1,-1,-1,-1,22.3,110
Gambia,GMB,Sub-Saharan Africa,West Africa,, ,,0,15.00,127,8.62,169,7.72,82,-1,-1,8.9,173
Georgia,GEO,Europe,Caucasus,Salome Zurabishvili,"Salome Zurabishvili (December 16, 2018 to Incumbent)",Salome Zurabishvili (current),1,16.67,111,19.29,129,-1,-1,23.70,88,20.6,119
Germany,DEU,Europe,Western Europe,,"Angela Merkel (November 22, 2005 to Incumbent)",Angela Merkel ,1,50,1,35.53,46,32.59,34,30,58,54.6,21
Ghana,GHA,Sub-Saharan Africa,West Africa,, ,,0,21.05,88,14.55,152,-1,-1,3.80,134,11.9,165
Greece,GRC,Europe,Southeastern Europe,Katerina Sakellaropoulou,"Katerina Sakellaropoulou (March 13, 2020 to Incumbent)",Katerina Sakellaropoulou (current),1,10.53,153,23.00,106,-1,-1,-1,-1,15.7,145
Grenada,GRD,Americas,Caribbean,, ,,0,21.43,86,31.03,64,-1,-1,-1,-1,24.1,101
Guatemala,GTM,Americas,Central America,, ,,0,7.14,169,20.00,124,22.74,51,11.40,120,15,150
Guinea,GIN,Sub-Saharan Africa,West Africa,, ,,0,25.93,66,29.63,71,-1,-1,15.90,104,24.0,102
Guinea-Bissau,GNB,Sub-Saharan Africa,West Africa,, ,,0,15.79,120,9.80,166,-1,-1,-1,-1,9.9,172
Guyana,GUY,Americas,South America,,"Janet Jagan (December 19, 1997 to August 11, 1999)",Janet Jagan,1,33.33,42,39.44,27,-1,-1,38.7,30,45.1,40
Haiti,HTI,Americas,Caribbean,,"Claudette Werleigh (November 7, 1995 to February 27, 1996), Michele Pierre-Louis (September 5, 2008 to November 11, 2009)","Claudette Werleigh, Michele Pierre-Louis",2,33.33,42,-1,-2,8.02,80,33.7,39,27.9,78
Honduras,HND,Americas,Central America,Xiomara Castro,#-2,Xiomara Castro (current),1,38.10,33,27.34,86,-1,-1,27.9,72,35.2,63
Hungary,HUN,Europe,Eastern Europe,,#-2,Katalin Novák ,1,9.09,163,14.57,151,17.65,63,30.50,54,19.0,133
